ATAC name,RNA name
chr15:60552843-60552952,RORA
chr15:60552843-60552952,chr15:60552843-60552952
chr7:18144085-18144635,HDAC9
chr7:18144085-18144635,chr7:18144085-18144635
chr1:89270426-89270937,GBP5
chr1:89270426-89270937,chr1:89270426-89270937
chr11:73055680-73056013,FCHSD2
chr11:73055680-73056013,chr11:73055680-73056013
chr5:60514155-60514506,PDE4D
chr5:60514155-60514506,chr5:60514155-60514506
chr14:66359487-66359817,AL359232.1
chr14:66359487-66359817,chr14:66359487-66359817
chr9:35533393-35533752,RUSC2
chr9:35533393-35533752,chr9:35533393-35533752
BCL6,chr3:187736024-187748483
BCL6,BCL6
chr8:40009203-40009803,IDO2
chr8:40009203-40009803,chr8:40009203-40009803
chr6:143534625-143535101,PHACTR2
chr6:143534625-143535101,chr6:143534625-143535101
AC104123.1,chr5:95957625-95963190
AC104123.1,chr5:95969600-95970169
AC104123.1,chr5:95973904-95974402
AC104123.1,chr5:96054428-96054796
AC104123.1,chr5:96070558-96071090
AC104123.1,chr5:96143033-96143435
AC104123.1,chr5:96146500-96147195
AC104123.1,chr5:96151720-96152288
AC104123.1,chr5:96197326-96197730
AC104123.1,chr5:96200617-96200898
AC104123.1,chr5:96259272-96259910
AC104123.1,chr5:96297794-96298431
AC104123.1,chr5:96301034-96301360
AC104123.1,chr5:96331148-96331584
AC104123.1,chr5:96336166-96337470
AC104123.1,chr5:96344718-96345705
AC104123.1,chr5:96439718-96440226
AC104123.1,chr5:96537134-96538159
AC104123.1,chr5:96538757-96539101
AC104123.1,chr5:96584751-96585076
AC104123.1,chr5:96601706-96602173
AC104123.1,chr5:96613963-96614822
AC104123.1,chr5:96627751-96628045
AC104123.1,AC104123.1
NKG7,chr19:51371088-51374001
NKG7,NKG7
chr21:36989197-36990850,HLCS
chr21:36989197-36990850,chr21:36989197-36990850
chr7:36531756-36532879,AOAH
chr7:36531756-36532879,chr7:36531756-36532879
chr12:16393050-16393508,MGST1
chr12:16393050-16393508,chr12:16393050-16393508
chr4:89829211-89830355,SNCA
chr4:89829211-89830355,chr4:89829211-89830355
chr8:59115659-59115910,TOX
chr8:59115659-59115910,chr8:59115659-59115910
chr5:78887603-78888086,ARSB
chr5:78887603-78888086,chr5:78887603-78888086
chr8:98840888-98841188,STK3
chr8:98840888-98841188,chr8:98840888-98841188
chr5:60210912-60211300,PDE4D
chr5:60210912-60211300,chr5:60210912-60211300
chr1:42529591-42530247,CCDC30
chr1:42529591-42530247,chr1:42529591-42530247
chr10:89331843-89334744,IFIT3
chr10:89331843-89334744,chr10:89331843-89334744
chr4:105170711-105171124,TET2
chr4:105170711-105171124,chr4:105170711-105171124
chr8:129683547-129683868,CCDC26
chr8:129683547-129683868,chr8:129683547-129683868
chr1:184890253-184891186,NIBAN1
chr1:184890253-184891186,chr1:184890253-184891186
chr17:50660358-50662405,ABCC3
chr17:50660358-50662405,chr17:50660358-50662405
chr9:112621251-112621645,KIAA1958
chr9:112621251-112621645,chr9:112621251-112621645
chr1:235980611-235981430,NID1
chr1:235980611-235981430,chr1:235980611-235981430
chr21:36965574-36967734,HLCS
chr21:36965574-36967734,chr21:36965574-36967734
chr8:140831082-140831515,PTK2
chr8:140831082-140831515,chr8:140831082-140831515
chr9:113150445-113158717,SLC31A2
chr9:113150445-113158717,chr9:113150445-113158717
chr3:98809653-98809938,ST3GAL6
chr3:98809653-98809938,chr3:98809653-98809938
chr1:201792979-201793425,NAV1
chr1:201792979-201793425,chr1:201792979-201793425
chr4:184822439-184827651,ACSL1
chr4:184822439-184827651,chr4:184822439-184827651
chr2:11852879-11853175,MIR3681HG
chr2:11852879-11853175,chr2:11852879-11853175
chr5:126339212-126339612,AC116362.1
chr5:126339212-126339612,chr5:126339212-126339612
chr9:87605238-87605411,DAPK1
chr9:87605238-87605411,chr9:87605238-87605411
chr13:40431947-40432586,LINC00598
chr13:40431947-40432586,chr13:40431947-40432586
AL450426.1,AL450426.1
chr10:28676575-28679358,BAMBI
chr10:28676575-28679358,chr10:28676575-28679358
AC095050.1,chr4:175386955-175387162
AC095050.1,AC095050.1
NIPAL2,chr8:98236344-98236417
NIPAL2,chr8:98247178-98247669
NIPAL2,chr8:98293093-98294641
NIPAL2,NIPAL2
chr1:247439844-247442266,NLRP3
chr1:247439844-247442266,chr1:247439844-247442266
chr11:114079726-114080973,ZBTB16
chr11:114079726-114080973,chr11:114079726-114080973
chr9:91950073-91950544,ROR2
chr9:91950073-91950544,chr9:91950073-91950544
chr10:20065835-20065998,PLXDC2
chr10:20065835-20065998,chr10:20065835-20065998
chr17:16947536-16947811,TNFRSF13B
chr17:16947536-16947811,chr17:16947536-16947811
chr19:31338092-31338409,TSHZ3
chr19:31338092-31338409,chr19:31338092-31338409
chr10:48789967-48790604,WDFY4
chr10:48789967-48790604,chr10:48789967-48790604
chr2:197954211-197954786,PLCL1
chr2:197954211-197954786,chr2:197954211-197954786
chr20:43983987-43984313,TOX2
chr20:43983987-43984313,chr20:43983987-43984313
chr5:32709732-32710146,NPR3
chr5:32709732-32710146,chr5:32709732-32710146
chr14:100359527-100360666,WARS
chr14:100359527-100360666,chr14:100359527-100360666
chr8:19414143-19414179,CSGALNACT1
chr8:19414143-19414179,chr8:19414143-19414179
chr4:108106818-108108626,LEF1
chr4:108106818-108108626,chr4:108106818-108108626
chr1:198778140-198778460,MIR181A1HG
chr1:198778140-198778460,chr1:198778140-198778460
chr13:49995301-49998382,DLEU2
chr13:49995301-49998382,chr13:49995301-49998382
chr13:50370071-50371001,DLEU1
chr13:50370071-50371001,chr13:50370071-50371001
chr2:102114819-102115277,IL1R1
chr2:102114819-102115277,chr2:102114819-102115277
chr22:29208973-29209296,EMID1
chr22:29208973-29209296,chr22:29208973-29209296
chr4:15233099-15234707,AC098829.1
chr4:15233099-15234707,chr4:15233099-15234707
chr5:126868891-126869565,MARCH3
chr5:126868891-126869565,chr5:126868891-126869565
chr17:28778211-28778756,FAM222B
chr17:28778211-28778756,chr17:28778211-28778756
chr3:58051088-58051610,FLNB
chr3:58051088-58051610,chr3:58051088-58051610
LAYN,chr11:111539267-111542030
LAYN,chr11:111542743-111542910
LAYN,LAYN
chr9:35489093-35490865,RUSC2
chr9:35489093-35490865,chr9:35489093-35490865
chrX:139205063-139205392,FGF13
chrX:139205063-139205392,chrX:139205063-139205392
chr12:46659908-46661840,AC008014.1
chr12:46659908-46661840,chr12:46659908-46661840
chr8:56011664-56013745,LYN
chr8:56011664-56013745,chr8:56011664-56013745
chr5:78573377-78574475,LHFPL2
chr5:78573377-78574475,chr5:78573377-78574475
chr1:45033386-45033682,ZSWIM5
chr1:45033386-45033682,chr1:45033386-45033682
chr3:67678655-67679227,SUCLG2-AS1
chr3:67678655-67679227,chr3:67678655-67679227
chr8:124682393-124682958,MTSS1
chr8:124682393-124682958,chr8:124682393-124682958
chr10:20019196-20019454,PLXDC2
chr10:20019196-20019454,chr10:20019196-20019454
chr3:186208319-186208764,DGKG
chr3:186208319-186208764,chr3:186208319-186208764
chr2:12310399-12310776,MIR3681HG
chr2:12310399-12310776,chr2:12310399-12310776
chr4:151420317-151420617,FAM160A1
chr4:151420317-151420617,chr4:151420317-151420617
chr8:127199686-127200039,PCAT1
chr8:127199686-127200039,CASC19
chr8:127199686-127200039,chr8:127199686-127200039
chr10:96699599-96701264,PIK3AP1
chr10:96699599-96701264,chr10:96699599-96701264
POT1-AS1,chr7:124929045-124931558
POT1-AS1,POT1-AS1
chr22:37126315-37129565,IL2RB
chr22:37126315-37129565,chr22:37126315-37129565
chr20:8527883-8528512,PLCB1
chr20:8527883-8528512,chr20:8527883-8528512
chr5:142981528-142982680,ARHGAP26
chr5:142981528-142982680,chr5:142981528-142982680
AL110114.1,chr20:1033831-1034570
AL110114.1,chr20:1108402-1108867
AL110114.1,chr20:1117753-1119795
AL110114.1,AL110114.1
chr6:18215023-18216001,KDM1B
chr6:18215023-18216001,chr6:18215023-18216001
chr2:212958530-212959160,AC093865.1
chr2:212958530-212959160,chr2:212958530-212959160
chr1:66367361-66367985,PDE4B
chr1:66367361-66367985,chr1:66367361-66367985
chr1:92563507-92563907,EVI5
chr1:92563507-92563907,chr1:92563507-92563907
chr10:75553617-75553730,LRMDA
chr10:75553617-75553730,chr10:75553617-75553730
chr3:196154863-196155395,LINC00885
chr3:196154863-196155395,chr3:196154863-196155395
chr9:121376245-121376595,AL359644.1
chr9:121376245-121376595,chr9:121376245-121376595
chr11:123547279-123547578,GRAMD1B
chr11:123547279-123547578,chr11:123547279-123547578
chr2:236988590-236989002,AC012063.1
chr2:236988590-236989002,chr2:236988590-236989002
chr14:53216911-53218266,AL365295.1
chr14:53216911-53218266,chr14:53216911-53218266
chr4:85681027-85681777,ARHGAP24
chr4:85681027-85681777,chr4:85681027-85681777
